Code,Centre,L100,L200,L300,L400,L500,L700,L800,L900,Total
OG02,Awa-Ijebu Community Study Centre,144,168,136,6390,576,263,298,0,7975
OG03,Abeokuta Correctional Service Study Centre,19,28,2,33,0,0,3,0,85
OG04,Ilaro Community Study Centre,17,5,1,2,1,1,3,0,30
ON01,Akure Study Centre,399,573,510,8621,2051,938,1453,1,14546
ON02,Isua-Akoko Community Study Centre,8,27,0,5,0,6,16,0,62
ON03,Oka-Akoko Community Study Centre,34,12,0,0,0,3,30,0,79
OS01,Iwo Study Centre,59,81,91,595,36,85,122,0,1069
OS02,Osogbo Study Centre,459,726,642,10723,1751,944,1235,1,16481
OS03,Otan-Ayegbaju Community Study Centre,4,20,20,177,6,24,42,0,293
OS05,ILESHA CORRECTIONAL SERVICE SPECIAL STUDY CENTRE,0,18,0,0,0,0,0,0,18
OY01,Ibadan Study Centre,1232,1590,1312,17212,2165,1371,1643,4,26529
OY02,Kisi Community Study Centre,22,39,14,26,1,9,8,0,119
OY03,Okeho Community Study Centre,10,7,3,3,0,0,2,0,25
PL01,Jos Study Centre,543,669,647,8677,1486,1275,2137,5,15439
RV01,Nigerian Correctional Service Special Study Centre Port-Harcourt,26,28,7,211,14,17,41,0,344
RV02,Portharcourt Study Centre,740,793,884,20774,4078,2868,3505,2,33644
SO01,Sokoto Study Centre,96,264,193,1229,524,212,508,2,3028
TR01,Jalingo Study Centre,78,116,109,1045,301,255,594,0,2498
TR02,Wukari Study Centre,28,38,52,422,102,89,176,2,909
UU00,Unknown,1,0,0,269,53,184,143,0,650
YB01,Damaturu Study Centre,66,128,202,512,146,123,417,1,1595
ZM01,Gusau Study Centre,72,163,174,667,210,123,334,2,1745
